date,feature_index,NO2
2023-08-01T00:00:00.000Z,0,3.361978692197935E-5
2023-08-04T00:00:00.000Z,0,2.7230589030667183E-5
2023-08-02T00:00:00.000Z,0,3.880605190972065E-5
2023-07-31T00:00:00.000Z,0,3.015792975627631E-5
2023-08-05T00:00:00.000Z,0,4.6561703039886605E-5
2023-08-03T00:00:00.000Z,0,3.548910128404419E-5
2023-07-30T00:00:00.000Z,0,2.3907092626292328E-5
2023-08-06T00:00:00.000Z,0,2.857700403599326E-5
2023-02-23T00:00:00.000Z,0,1.4137340315301117E-5
2023-02-27T00:00:00.000Z,0,
2023-02-24T00:00:00.000Z,0,3.2109048637115244E-5
2023-02-20T00:00:00.000Z,0,2.9256683570852865E-5
2023-02-25T00:00:00.000Z,0,1.9993911791971186E-5
2023-02-21T00:00:00.000Z,0,2.5567150000175127E-5
2023-02-22T00:00:00.000Z,0,2.9200876399824794E-5
2023-02-26T00:00:00.000Z,0,
2024-07-02T00:00:00.000Z,0,2.7677142497850582E-5
2024-07-01T00:00:00.000Z,0,4.330987540015485E-5
2024-07-06T00:00:00.000Z,0,2.7524413177651204E-5
2024-07-03T00:00:00.000Z,0,4.562646305809418E-5
2024-07-07T00:00:00.000Z,0,2.988660129530116E-5
2024-07-05T00:00:00.000Z,0,2.627668227626387E-5
2024-06-30T00:00:00.000Z,0,4.084615575266071E-5
2024-07-04T00:00:00.000Z,0,
2024-07-22T00:00:00.000Z,0,4.205407852471884E-5
2024-07-20T00:00:00.000Z,0,3.130820969290768E-5
2024-07-23T00:00:00.000Z,0,2.962058481443819E-5
2024-07-19T00:00:00.000Z,0,3.1381216679091895E-5
2024-07-18T00:00:00.000Z,0,2.580996598177031E-5
2024-07-17T00:00:00.000Z,0,3.73463490056262E-5
2024-07-21T00:00:00.000Z,0,2.7197514760345945E-5
2024-07-16T00:00:00.000Z,0,3.351324119323222E-5
2025-03-27T00:00:00.000Z,0,2.0700255336473324E-5
2025-03-26T00:00:00.000Z,0,2.2427171312740964E-5
2025-03-21T00:00:00.000Z,0,2.017113242921975E-5
2025-03-22T00:00:00.000Z,0,
2025-03-28T00:00:00.000Z,0,
2025-03-24T00:00:00.000Z,0,3.770622170122806E-5
2025-03-23T00:00:00.000Z,0,2.0380315918180018E-5
2025-03-25T00:00:00.000Z,0,2.902949126369744E-5
2024-05-06T00:00:00.000Z,0,1.7631219299308518E-5
2024-05-08T00:00:00.000Z,0,2.7777746953898502E-5
2024-05-10T00:00:00.000Z,0,2.3953339093298253E-5
2024-05-07T00:00:00.000Z,0,2.1921326093895856E-5
2024-05-11T00:00:00.000Z,0,2.7027730102952986E-5
2024-05-09T00:00:00.000Z,0,2.7257893543719546E-5
2024-05-05T00:00:00.000Z,0,1.9574993345204428E-5
2024-05-12T00:00:00.000Z,0,1.561432267046394E-5
2024-06-29T00:00:00.000Z,0,2.291584743648429E-5
2024-06-25T00:00:00.000Z,0,3.970648191170767E-5
2024-06-23T00:00:00.000Z,0,
2024-06-22T00:00:00.000Z,0,2.6631713416867973E-5
2024-06-28T00:00:00.000Z,0,2.5637668308426423E-5
2024-06-26T00:00:00.000Z,0,3.5694283861843876E-5
2024-06-27T00:00:00.000Z,0,2.498475953677695E-5
2024-06-24T00:00:00.000Z,0,3.394502831118492E-5
2024-08-26T00:00:00.000Z,0,2.679395621128627E-5
2024-08-31T00:00:00.000Z,0,3.658048000759439E-5
2024-08-28T00:00:00.000Z,0,3.164275888896858E-5
2024-08-25T00:00:00.000Z,0,2.581750751527151E-5
2024-08-27T00:00:00.000Z,0,2.941350109278235E-5
2024-08-29T00:00:00.000Z,0,2.9922989777036873E-5
2024-08-30T00:00:00.000Z,0,3.316350877806782E-5
2024-09-01T00:00:00.000Z,0,2.144637663414504E-5
