Fitur,Korelasi
NO2(t-1),0.5711528625966618
NO2(t-2),0.4095800952028129
NO2(t-5),0.37994940812560585
NO2(t-3),0.3768752259509448
NO2(t-4),0.36422185212729824
NO2(t-7),0.3505830524337377
NO2(t-6),0.34938958722343466
NO2(t-8),0.34126332412168214
NO2(t-11),0.34100541790655237
NO2(t-12),0.33545172625138103
NO2(t-10),0.3309279096679671
NO2(t-16),0.3267225564741189
NO2(t-9),0.3221815380840059
NO2(t-13),0.314658641789554
NO2(t-21),0.3144287098760243
NO2(t-17),0.2996219621456473
NO2(t-30),0.29020854552830655
NO2(t-22),0.28877822861864677
NO2(t-15),0.28731983738401673
NO2(t-14),0.2829021163883972
NO2(t-20),0.280447316221664
NO2(t-19),0.2783262663025643
NO2(t-18),0.277924910603285
NO2(t-29),0.2766423045636756
NO2(t-24),0.268141945891048
NO2(t-23),0.26104828147681064
NO2(t-28),0.2601151087611133
NO2(t-25),0.24010522887161517
NO2(t-26),0.22660775715787587
NO2(t-27),0.2266026253541088
